game_id,name,release_date,release_year,total_reviews,positive_percent,developer,publisher,genres,tags,platforms,current_price,discounted_price,discount_percent
730,Counter-Strike 2,"21 Aug, 2012",2012,8840663,86,,,"Action, Free To Play",Action;Free To Play,"Linux, Windows",Free To Play,Free To Play,
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017",2017,2564751,59,,,"Action, Adventure, Massively Multiplayer, Free To Play",Action;Adventure;Massively Multiplayer;Free To Play,Windows,Free To Play,Free To Play,
381210,Dead by Daylight,"14 Jun, 2016",2016,581659,79,,,,,,Free To Play,Free To Play,
2138720,REMATCH,"19 Jun, 2025",2025,2811,77,,,"Action, Indie, Sports",Action;Indie;Sports,Windows,$14.99 USD,$14.99 USD,
1771300,Kingdom Come: Deliverance II,"4 Feb, 2025",2025,77368,93,,,,,,Free To Play,Free To Play,
1172710,Dune: Awakening,"10 Jun, 2025",2025,26662,85,,,,,,Free To Play,Free To Play,
529340,Victoria 3,"25 Oct, 2022",2022,34078,69,,,,,,,,
3796620,Dead by Daylight: Five Nights at Freddyâ€™s,"17 Jun, 2025",2025,1036,93,,,,,,Free To Play,Free To Play,
2669320,EA SPORTS FCâ„¢ 25,"26 Sep, 2024",2024,70352,49,,,"Simulation, Sports",Simulation;Sports,Windows,$69.99 USD,$69.99 USD,
1665460,eFootballâ„¢,"29 Sep, 2021",2021,93118,47,,,"Simulation, Sports, Free To Play",Simulation;Sports;Free To Play,Windows,Free To Play,Free To Play,
1601570,The Alters,"13 Jun, 2025",2025,2710,88,,,,,,,,
2622380,ELDEN RING NIGHTREIGN,"29 May, 2025",2025,73368,80,,,,,,,,
2050650,Resident Evil 4,"24 Jan, 2019",2019,119483,97,,,,,,,,
3241660,R.E.P.O.,"26 Feb, 2025",2025,159665,96,,,"Action, Early Access",Action;Early Access,Windows,$5.79 USD,$5.79 USD,
359550,Tom Clancy's Rainbow SixÂ® Siege X,"1 Dec, 2015",2015,1410012,83,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
534380,Dying Light 2 Stay Human: Reloaded Edition,"3 Feb, 2022",2022,146951,79,,,"Action, Adventure, RPG",Action;Adventure;RPG,Windows,$39.99,$13.19 USD,-67%
1604270,Broken Arrow,"19 Jun, 2025",2025,2505,72,,,Strategy,Strategy,Windows,$22.99 USD,$22.99 USD,
252490,Rust,"8 Feb, 2018",2018,1022983,87,,,"Action, Adventure, Indie, Massively Multiplayer, RPG",Action;Adventure;Indie;Massively Multiplayer;RPG,"Mac, Windows",$18.99 USD,$18.99 USD,
227300,Euro Truck Simulator 2,"12 Oct, 2012",2012,660307,97,,,"Indie, Simulation",Indie;Simulation,"Linux, Mac, Windows",$10.09 USD,$10.09 USD,
3527290,PEAK,"16 Jun, 2025",2025,1335,94,,,"Action, Adventure, Indie",Action;Adventure;Indie,Windows,$3.99,$2.47 USD,-38%
1868140,DAVE THE DIVER,"28 Jun, 2023",2023,117023,97,,,"Adventure, Casual, RPG, Simulation",Adventure;Casual;RPG;Simulation,"Mac, Windows",$12.99,$7.79 USD,-40%
2124490,SILENT HILL 2,"7 Oct, 2024",2024,28826,95,,,,,,Free To Play,Free To Play,
570,Dota 2,"9 Jul, 2013",2013,2506787,81,,,"Action, Strategy, Free To Play",Action;Strategy;Free To Play,"Linux, Mac, Windows",Free To Play,Free To Play,
3450170,Victoria 3: Charters of Commerce,"17 Jun, 2025",2025,112,85,,,"Simulation, Strategy",Simulation;Strategy,"Linux, Mac, Windows",$11.99 USD,$11.99 USD,
418370,Resident Evil 7 Biohazard,"23 Jan, 2017",2017,67264,95,,,,,,Free To Play,Free To Play,
2429640,THRONE AND LIBERTY,"1 Oct, 2024",2024,63770,68,,,,,,Free To Play,Free To Play,
239140,Dying Light,"27 Jan, 2025",2025,339828,95,,,,,,Free To Play,Free To Play,
3008130,Dying Light: The Beast,"22 Aug, 2025",2025,0,0,,,,,,,,
3513350,Wuthering Waves,"28 Apr, 2025",2025,15134,90,,,"Action, Adventure, RPG, Free To Play",Action;Adventure;RPG;Free To Play,Windows,Free To Play,Free To Play,
1172470,Apex Legendsâ„¢,"5 Nov, 2020",2020,996808,67,,,"Action, Adventure, Free To Play",Action;Adventure;Free To Play,Windows,Free To Play,Free To Play,
552990,World of Warships,"15 Nov, 2017",2017,146841,77,,,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",Action;Massively Multiplayer;Simulation;Strategy;Free To Play,Windows,Free To Play,Free To Play,
244210,Assetto Corsa,"19 Dec, 2014",2014,117898,92,,,"Indie, Racing, Simulation, Sports",Indie;Racing;Simulation;Sports,Windows,$10.49,$2.62 USD,-75%
1196590,Resident Evil Village,"7 May, 2021",2021,82356,95,,,,,,Free To Play,Free To Play,
236390,War Thunder,"15 Aug, 2013",2013,629741,73,,,"Action, Massively Multiplayer, Simulation, Free To Play",Action;Massively Multiplayer;Simulation;Free To Play,"Linux, Mac, Windows",Free To Play,Free To Play,
2878980,NBA 2K25,"28 Oct, 2024",2024,23619,59,,,"Simulation, Sports",Simulation;Sports,Windows,$79.99,$15.99 USD,-80%
3164500,Schedule I,"25 Mar, 2025",2025,192745,98,,,,,,,,
2272540,FBC: Firebreak,"17 Jun, 2025",2025,584,53,,,Action,Action,Windows,$19.99 USD,$19.99 USD,
530611,End of Zoe,"12 Dec, 2017",2017,1025,87,,,,,,Free To Play,Free To Play,
2943650,FragPunk,"7 Mar, 2025",2025,39993,73,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
3483740,Cast n Chill,"16 Jun, 2025",2025,494,94,,,"Casual, Indie, RPG, Simulation, Sports",Casual;Indie;RPG;Simulation;Sports,"Mac, Windows",$7.99,$6.39 USD,-20%
261550,Mount & Blade II: Bannerlord,"25 Oct, 2022",2022,205472,87,,,"Action, Indie, RPG, Simulation, Strategy",Action;Indie;RPG;Simulation;Strategy,Windows,$19.99 USD,$19.99 USD,
582660,Black Desert,"17 May, 2018",2018,59043,75,,,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Windows,$4.99 USD,$4.99 USD,
513710,SCUM,"17 Jun, 2025",2025,88788,75,,,"Action, Adventure, Indie, Massively Multiplayer",Action;Adventure;Indie;Massively Multiplayer,Windows,$29.99 USD,$29.99 USD,
2625420,Drive Beyond Horizons,"24 Mar, 2025",2025,6779,80,,,"Action, Adventure, Casual, Indie, Racing, Simulation, Early Access",Action;Adventure;Casual;Indie;Racing;Simulation;Early Access,Windows,$12.49 USD,$12.49 USD,
3489700,Stellar Bladeâ„¢,"12 Jun, 2025",2025,18435,94,,,,,,Free To Play,Free To Play,
1671210,DELTARUNE,"4 Jun, 2025",2025,37843,98,,,"Indie, RPG",Indie;RPG,"Mac, Windows",$12.49 USD,$12.49 USD,
266410,iRacing,"12 Jan, 2015",2015,3561,84,,,"Massively Multiplayer, Racing, Simulation, Sports",Massively Multiplayer;Racing;Simulation;Sports,Windows,Free To Play,Free To Play,
389430,Knight Online,"26 Jan, 2016",2016,10887,50,,,"Action, Adventure, Free To Play, Massively Multiplayer, RPG",Action;Adventure;Free To Play;Massively Multiplayer;RPG,Windows,Free To Play,Free To Play,
3013840,True Love,"27 Jun, 2024",2024,0,0,,,"Action, Adventure, Casual, Indie",Action;Adventure;Casual;Indie,Windows,$500.00 USD,$500.00 USD,
444200,World of Tanks Blitz,"9 Nov, 2016",2016,148356,78,,,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",Action;Massively Multiplayer;Simulation;Strategy;Free To Play,"Mac, Windows",,,
553850,HELLDIVERSâ„¢ 2,"8 Feb, 2024",2024,745449,77,,,,,,Free To Play,Free To Play,
1850570,DEATH STRANDING DIRECTOR'S CUT,"30 Mar, 2022",2022,29327,92,,,"Action, Adventure",Action;Adventure,Windows,$5.79,$2.31 USD,-60%
3183280,Game of Thrones: Kingsroad,"22 May, 2025",2025,4301,62,,,"Action, Adventure, RPG, Free To Play",Action;Adventure;RPG;Free To Play,Windows,Free To Play,Free To Play,
306130,The Elder ScrollsÂ® Online,"23 May, 2017",2017,128129,82,,,,,,Free To Play,Free To Play,
2584990,Shadowverse: Worlds Beyond,"15 Jun, 2025",2025,4205,16,,,"Casual, RPG, Strategy, Free To Play",Casual;RPG;Strategy;Free To Play,Windows,Free To Play,Free To Play,
1547000,Grand Theft Auto: San Andreas â€“ The Definitive Edition,"19 Jan, 2023",2023,8717,77,,,,,,Free To Play,Free To Play,
601150,Devil May Cry 5,"8 Mar, 2019",2019,100915,96,,,,,,Free To Play,Free To Play,
2767030,Marvel Rivals,"6 Dec, 2024",2024,291647,79,,,,,,,,
1285190,Borderlands 4,"12 Sep, 2025",2025,0,0,,,,,,,,
1245620,ELDEN RING,"25 Feb, 2022",2022,768464,93,,,,,,Free To Play,Free To Play,
107410,Arma 3,"12 Sep, 2013",2013,216351,90,,,,,,,,
431960,Wallpaper Engine,"16 Nov, 2018",2018,832225,98,,,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Casual;Indie;Animation & Modeling;Design & Illustration;Photo Editing;Utilities,Windows,$2.99 USD,$2.99 USD,
2073850,THE FINALS,"8 Dec, 2023",2023,233056,77,,,"Action, Free To Play",Action;Free To Play,Windows,Free To Play,Free To Play,
3717470,THRONE AND LIBERTY Nature's Celebration Pack: Gold,"12 Jun, 2025",2025,0,0,,,,,,Free To Play,Free To Play,
1650010,RIDE 5,"24 Aug, 2023",2023,1834,79,,,"Racing, Simulation, Sports",Racing;Simulation;Sports,Windows,$59.99,$11.99 USD,-80%
1114150,CarX Street,"29 Aug, 2024",2024,10210,70,,,"Massively Multiplayer, Racing, Simulation, Sports",Massively Multiplayer;Racing;Simulation;Sports,Windows,$19.99,$8.99 USD,-55%
230410,Warframe,"25 Mar, 2013",2013,621356,87,,,,,,Free To Play,Free To Play,
2252570,Football Manager 2024,"6 Nov, 2023",2023,13887,90,,,"Simulation, Sports, Strategy",Simulation;Sports;Strategy,"Mac, Windows",$39.99 USD,$39.99 USD,
1962663,Call of DutyÂ®: Warzoneâ„¢,"16 Nov, 2022",2022,45219,31,,,,,,Free To Play,Free To Play,
12210,Grand Theft Auto IV: The Complete Edition,"24 Mar, 2020",2020,154338,82,,,"Action, Adventure",Action;Adventure,Windows,$19.99,$5.99 USD,-70%
1943950,Escape the Backrooms,"11 Aug, 2022",2022,86229,91,,,"Indie, Early Access",Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
238960,Path of Exile,"23 Oct, 2013",2013,236741,88,,,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play",Action;Adventure;Indie;Massively Multiplayer;RPG;Free To Play,"Mac, Windows",Free To Play,Free To Play,
1562430,DREDGE,"30 Mar, 2023",2023,37264,95,,,"Adventure, RPG",Adventure;RPG,"Mac, Windows",$12.49,$6.24 USD,-50%
2668510,Red Dead Redemption,"29 Oct, 2024",2024,9925,92,,,Action,Action,Windows,$7.99 USD / month,$7.99 USD / month,
1158310,Crusader Kings III,"1 Sep, 2020",2020,80714,91,,,,,,,,
394360,Hearts of Iron IV,"9 Apr, 2024",2024,238553,91,,,,,,,,
518790,theHunter: Call of the Wildâ„¢,"16 Feb, 2017",2017,148641,89,,,,,,,,
2215390,Five Nights at Freddy's: Secret of the Mimic,"13 Jun, 2025",2025,3767,82,,,Indie,Indie,Windows,$30.58 USD,$25.18 USD,-18%
3240220,Grand Theft Auto V Enhanced,"4 Mar, 2025",2025,57938,67,,,,,,Free To Play,Free To Play,
214950,Total War: ROME II - Emperor Edition,"2 Sep, 2013",2013,50431,86,,,Strategy,Strategy,"Mac, Windows",$26.99,$6.74 USD,-75%
1937780,Total War: PHARAOH,"11 Oct, 2023",2023,3360,64,,,,,,,,
779340,Total War: THREE KINGDOMS,"23 May, 2019",2019,59853,82,,,"Action, Strategy",Action;Strategy,"Linux, Mac, Windows",$49.99,$12.49 USD,-75%
1903340,Clair Obscur: Expedition 33,"24 Apr, 2025",2025,83876,95,,,,,,Free To Play,Free To Play,
1086940,Baldur's Gate 3,"3 Aug, 2023",2023,673153,96,,,,,,Free To Play,Free To Play,
2694490,Path of Exile 2,"6 Dec, 2024",2024,127779,72,,,"Action, Adventure, Massively Multiplayer, RPG, Early Access",Action;Adventure;Massively Multiplayer;RPG;Early Access,Windows,$29.99 USD,$29.99 USD,
1274570,DEVOUR,"28 Jan, 2021",2021,64109,91,,,Indie,Indie,"Mac, Windows",$5.79 USD,$5.79 USD,
2399830,ARK: Survival Ascended,"26 Oct, 2023",2023,70305,59,,,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access,Windows,$20.99,$10.49 USD,-50%
805550,Assetto Corsa Competizione,"29 May, 2019",2019,26419,92,,,"Racing, Simulation, Sports",Racing;Simulation;Sports,Windows,$18.99,$4.74 USD,-75%
2141730,Backrooms: Escape Together,"18 Oct, 2022",2022,19834,87,,,"Action, Adventure, Casual, Indie, Early Access",Action;Adventure;Casual;Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
1174180,Red Dead Redemption 2,"5 Dec, 2019",2019,683208,91,,,"Action, Adventure",Action;Adventure,Windows,$59.99 USD,$59.99 USD,
835570,Conqueror's Blade,"6 Apr, 2020",2020,34503,68,,,"Action, Massively Multiplayer, RPG, Strategy, Free To Play",Action;Massively Multiplayer;RPG;Strategy;Free To Play,Windows,Free To Play,Free To Play,
1145350,Hades II,"6 May, 2024",2024,60372,94,,,"Action, Indie, RPG, Early Access",Action;Indie;RPG;Early Access,"Mac, Windows",$14.99,$13.49 USD,-10%
438100,VRChat,"1 Feb, 2017",2017,241122,75,,,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",Adventure;Casual;Massively Multiplayer;Simulation;Sports;Free To Play;Early Access,Windows,Free To Play,Free To Play,
236850,Europa Universalis IV,"13 Aug, 2013",2013,88697,87,,,"Simulation, Strategy",Simulation;Strategy,"Linux, Mac, Windows",$29.99 USD,$29.99 USD,
2737070,Crime Simulator,"17 Jun, 2025",2025,60,56,,,"Action, Indie, Simulation",Action;Indie;Simulation,Windows,$6.99,$6.29 USD,-10%
413150,Stardew Valley,"26 Feb, 2016",2016,759909,98,,,"Indie, RPG, Simulation",Indie;RPG;Simulation,"Linux, Mac, Windows",$5.99 USD,$5.99 USD,
477160,Human Fall Flat,"22 Jul, 2016",2016,164289,94,,,"Adventure, Casual, Indie, Simulation",Adventure;Casual;Indie;Simulation,"Mac, Windows",$10.49,$3.14 USD,-70%
