game_id,title,release_date,developer,publisher,base_price
2884150,Rapture Recovery Squad,2025-05-26,Reggie Dev,Reggie Dev,$2.99 USD
2782020,WATTGAMES,2025-05-26,TripleScience Software,TripleScience Software,$11.24 USD
3689920,Work Wrecker,2025-05-26,XaGame,XaGame,$0.89 USD
3190840,Aggi's Tiny Friends,2025-05-26,Autumn Senior,OST Senior,$2.69 USD
2863040,Echoes of the Sun,2025-05-26,Outer Realms,Outer Realms,$7.99 USD
3597480,HOMESICKNESS,2025-05-26,jnity,jnity,$4.49 USD
3462150,Turret Baffler,2025-05-26,Aceade Games,Aceade Games,$2.99 USD
3622010,Putt Down Demo,2025-05-26,Icehelm,Icehelm,
3669640,Bound by Bones Demo,2025-05-26,IgnisByteStudios,IgnisByteStudios,
3698470,Simulacro,2025-05-26,Rangel Oblivion,Gurunga Games,$0.89 USD
3547920,The Dark Delivers Demo,2025-05-26,JaB Arcade,JaB Arcade,
3684920,Z Mission Breakout,2025-05-26,Gaemster,Gaemster,$4.92 USD
2890980,Sector Unknown - Prologue,2025-05-26,Creative Storm Entertainment,Creative Storm Entertainment,Free
3698700,Case Sealed,2025-05-26,Mergen Games,Mergen Games,$2.54 USD
3679630,PAYDAY 3: Party Powder Heist,2025-05-26,,,
3112550,The Legacy Demo,2025-05-26,Second Reality,RockGame S.A.,
3399850,The Corruption,2025-05-26,Acellular,Acellular,$8.49 USD
3720670,Apex Ascent,2025-05-26,Real Gamer,Real Gamer,$2.24 USD
3669370,Dead Oil Demo,2025-05-26,Moonshine Muffin,Moonshine Muffin,
3697930,Drop Duchy Soundtrack,2025-05-26,Sleepy Mill Studio,The Arcade Crew,$2.49 USD
3631850,Kyoto Anomaly,2025-05-26,BiteMe Games,BiteMe Games,$1.79 USD
3707090,"They Sold Me a Perfect Mother, But She's Not What She Seems",2025-05-26,furryweeb69uwu,furryweeb69uwu,$1.19 USD
3751840,Torrent Empire Demo,2025-05-26,Steel Games,Steel Games,
3660190,Vampiress: Eternal Duet - Demo,2025-05-26,织界者 (Realm Weaver Studio),织界者 (Realm Weaver Studio),
3709980,AI Math Dash,2025-05-26,AA Mini Games Studio,AA Mini Games Studio,$0.54 USD
3660190,Vampiress: Eternal Duet - Demo,2025-05-26,织界者 (Realm Weaver Studio),织界者 (Realm Weaver Studio),
3709980,AI Math Dash,2025-05-26,AA Mini Games Studio,AA Mini Games Studio,$0.54 USD
3604960,Legacy of Shadows 影の遺産,2025-05-26,Ethan Kobo,Ethan Kobo,$3.99 USD
3745660,Heroes Against Time Demo,2025-05-26,David Vinokurov,David Vinokurov,
3418810,Marmot Fight Club,2025-05-26,rentaka,rentaka,$1.19 USD
3564910,FYR: The Lost Island Demo,2025-05-26,Breach,Breach,
3472400,PHASE ZERO Demo,2025-05-26,SPINA Studio,SPINA Studio,
3639630,Sticky Business: Book of Shadows,2025-05-26,Spellgarden Games,Assemble Entertainment,$2.24 USD
3156440,SANDRAIL RACE Demo,2025-05-26,Gametheus,Gametheus,
3503280,Idle Farm tycoon,2025-05-26,JNA game,JNA Game,$2.69 USD
3634480,One King Is Enough Demo,2025-05-26,INVISIBLE GAMES,INVISIBLE GAMES,
3617580,Shopkeeper Simulator Demo,2025-05-26,Games Incubator,Games Incubator,
3672060,Zombeo and Vampiret Demo,2025-05-26,Factory Trashcension,Factory Trashcension,
3620680,Catastrophic Inversion,2025-05-26,Toastid Waffel,Toastid Waffel,$2.99 USD
3430820,Frosty Enterprise Demo,2025-05-26,monoclelord,monoclelord,
3749290,Empire in Decay Demo,2025-05-26,Siesta Games,Siesta Games,
3722070,Night Patrol,2025-05-26,HwangSo Games,HwangSo Games,$2.69 USD
3755080,Times of Survival Demo,2025-05-26,Can Games Studio,Can Games Studio,
3506550,SINGOU BREAKA シンゴウブレイカ Demo,2025-05-26,NEOタケトンボ,NEOタケトンボ,
2835250,UFO BLAST,2025-05-26,odwar,odwar,$0.66 USD
3713300,Sporeborne,2025-05-26,Pannukakku Productions,Ahlman Games,Free To Play
3711060,Tails of the North,2025-05-26,pigeonbat (Naava Siltala),Ahlman Games,Free To Play
3713490,MoonLight,2025-05-26,"Please go to Sleep, This is not Healthy Entertainment",Ahlman Games,Free To Play
3522480,Trucky McTruckface,2025-05-26,TMAC Game Studios,TMAC Game Studios,$5.21 USD
3173740,Ghost Frequency,2025-05-26,PIT GAMES,Serafini Productions,$2.69 USD
3304220,Emily's Bizarre Dreams,2025-05-26,Flying Frog Studio,Lixeira Publishing,$1.49 USD
3640190,Arcane Path Demo,2025-05-26,stygian games,stygian games,
3699090,Bubble Ghost Remake - Comic Book,2025-05-26,Nakama Game Studio,Selecta Play,$1.99 USD
3698950,Bubble Ghost Remake Soundtrack,2025-05-26,Nakama Game Studio,,$2.49 USD
3720710,Solitary Horizons Demo,2025-05-26,PaceBloom,PaceBloom,
3749420,Hop to It! Demo,2025-05-26,Rock Bottom Games,Rock Bottom Games,
3726430,Danger in Pompeii Demo,2025-05-26,DNA Studios,DNA Studios,
3750100,Dimensional Fold Demo,2025-05-26,Martin Edmaier,Martin Edmaier,
3731540,Trainz Plus DLC - BNSF C44-9W 4772-4877 H3,2025-05-26,RRMods,N3V Games,$6.59 USD
3731520,Trainz 2022 DLC - BNSF C44-9W 4772-4877 H3,2025-05-26,RRMods,N3V Games,$6.59 USD
3611720,Sixtar Gate: STARGAZER Demo,2025-05-26,Starlike Inc.,Smilegate,
3502900,Sani Yang's Laboratory Demo,2025-05-26,"TALESSHOP Co., Ltd.",Smilegate,
3753150,Drag'N Dungeon Demo,2025-05-26,Demon Girl,Demon Girl,
3716240,Trainz 2022 DLC - GECX C44-9W EX-BNSF 4772-4877,2025-05-26,RRMods,N3V Games,$6.59 USD
3716250,Trainz Plus DLC - GECX C44-9W EX-BNSF 4772-4877,2025-05-26,RRMods,N3V Games,$6.59 USD
595960,Pinball Wicked,2025-05-26,Formslingers,Formslingers,$5.79 USD
3750610,Angel Legion-DLC Tight Leather (Red),2025-05-26,,,
3744350,Lazy Writer Demo,2025-05-26,Pavel Urakov,Pavel Urakov,
3288920,Ed & Edda: GRAND PRIX – Racing Champions Demo,2025-05-26,Tivola Games GmbH,Tivola Games GmbH,
3726750,Burnin' Rubber 6 Demo,2025-05-26,Xform,Xform,
3756210,Rhya's Crusade Official Instruction Booklet,2025-05-26,Black Fortress Games,,Free To Play
3743000,Where the forest ends Demo,2025-05-26,Ivan Onokhin,Ivan Onokhin,
3681480,Nightmare Visions Chapter 1,2025-05-26,Q13Games LLC,Q13Games LLC,Free To Play
3713580,LES MILLS XR BODYCOMBAT: NEVER SURRENDER,2025-05-26,Odders Lab,Odders Lab,$5.79 USD
3743960,Kickback Clicker Demo,2025-05-26,Dot blood,Targem Games,
3713580,LES MILLS XR BODYCOMBAT: NEVER SURRENDER,2025-05-26,Odders Lab,Odders Lab,$5.79 USD
3743960,Kickback Clicker Demo,2025-05-26,Dot blood,Targem Games,
2540240,HAELE 3D - Hand Poses Pro - Drawing References,2025-05-26,Ige Olwen,HAELE 3D,$11.99 USD
3716310,Runeblade Automaton,2025-05-26,,,
3718150,The Rewinder 2 Original Soundtrack,2025-05-26,MistyMountainStudio,Gamirror Games,$2.49 USD
2915490,The Rewinder 2,2025-05-26,MistyMountainStudio,Gamirror Games,$7.64 USD
3756720,eXoSpace Combat Engineer Demo,2025-05-26,Fantastimaker,Fantastimaker,
3761590,Idle Geometry Defense Demo,2025-05-26,Urban Isotope,Urban Isotope,
3725770,Arcade Boss Simulator Demo,2025-05-26,Vangaurds of code,Vanguards of code,$2.99 USD
3725770,Arcade Boss Simulator,2025-05-26,Vangaurds of code,Vanguards of code,$2.99 USD
3666470,BackSlap Demo,2025-05-26,Dotoyou Games,Dotoyou Games,
3481480,超级妙音鸟 Super Kalavinka,2025-05-26,Hou Xiaohou,Hou Xiaohou,$4.99 USD
3566150,CONDEMNED TO BE FREE,2025-05-26,SOOMR INDUSTRIES,SOOMR INDUSTRIES,$3.59 USD
2810780,Forsaken Frontiers,2025-05-26,made in fairyland,made in fairyland,$6.79 USD
3246090,No Way Home Demo,2025-05-26,SMG Studio,SMG Studio,
3246100,SPiNG Demo,2025-05-26,SMG Studio,SMG Studio,
3745220,Metaball - Space Guide Pack,2025-05-26,Bucketplay Inc.,,$2.99 USD
3681090,Shoestrings Story Demo,2025-05-26,KITTYPOOL,WorldMap,
3429680,1899: Secrets of the Maze,2025-05-26,VELİ ARIK,VELİ ARIK,$1.86 USD
3034520,The Fox's Way Home Demo,2025-05-26,BeXide Inc.,BeXide Inc.,$5.94 USD
3277250,Catch it,2025-05-26,CCLXGAMES,CCLXGAMES,$4.63 USD
2005480,Overage - Child of Chaos Demo,2025-05-26,CopyCat Game Studios,CopyCat Game Studios,
3665350,Vampires vs Mechas Prototype,2025-05-26,Nixxsz,Nixxsz,
3645700,What Happened to Lily? Demo,2025-05-26,Montee Games,Montee Games,
3215290,Alien Market Simulator,2025-05-26,Silly Sloth Studios,Shadow Owl Studios,$5.83 USD
2450230,LifeDev,2025-05-26,Jeronimo Barraco-Marmol,Jeronimo Barraco-Marmol,$2.99 USD
1125510,Snacko,2025-05-25,Bluecurse Studios,Armor Games Studios,$9.36 USD
3692510,QWERTY Zombies Demo,2025-05-25,Blue Math,Blue Math,
2805200,Alpha Galaxy Shooting Championship,2025-05-25,.,.,$5.21 USD
3751590,TRADESMAN: Deal to Dealer - HATS Supporter Pack,2025-05-25,AZAMATIKA,,$1.99 USD
3711950,Little Kingdom RTS Demo,2025-05-25,MyDreamForever,Andgo Games,
3278190,Project: AMICA Demo,2025-05-25,dofhouse,dofhouse,
3152870,Guards II: Chaos in Hell Demo,2025-05-25,Battlecruiser Games,HeroCraft PC,
3022260,Beyond The Board Demo,2025-05-25,Guilherme Gama,Fragile Shapes Studio,
3628960,Miscrits: World of Creatures,2025-05-25,Lightning Ball Studios,Lightning Ball Studios,Free To Play
3727860,Felbound: Prologue,2025-05-25,Poink Games,Poink Games,
2358620,Spectator 2,2025-05-25,Neko Machine,indie.io,$3.89 USD
3737840,Fish Hunters 🐟 Demo,2025-05-25,Dos Ivánes,Polden Publishing,
3169060,Leftovers KO!,2025-05-25,Mountain Man Animation,Feardemic,$4.63 USD
3621860,RAIN;CHECK,2025-05-25,Meow Meow Meadows,Meow Meow Meadows,$1.49 USD
3692270,Reaper Hunt: Survivor Demo,2025-05-25,RedFlag Games,RedFlag Games,
2283940,Ancient Guardians: The Dragon,2025-05-25,Luphix,Luphix,$0.99 USD
2844310,Minigames Mayhem Demo,2025-05-25,HamsterHam Games,HamsterHam Games,$3.99 USD
3412210,Demon’s Soar,2025-05-25,CouraGGe ent.,CouraGGe ent.,$0.89 USD
3451590,Zombie Dash,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451580,Sobakan,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451550,Robot Problems,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451570,Rope Guy,2025-05-25,GrubItGames,GrubItGames,$0.89 USD
3451540,Planet Hero,2025-05-25,TolaTolaGames,TolaTolaGames,$0.89 USD
3451530,Magivor,2025-05-25,TolaTolaGames,TolaTolaGames,$0.89 USD
